WAR	BB/9	K/9	hr/9	fip	whip	bipa	피안타율
4.78	2.46	8.69	0.19	1.18	4.24	0.246	0.185
4.71	3.6	11.57	0.39	1.32	4.14	0.304	0.207
4.23	3.38	11.37	0.71	1.21	3.5	0.269	0.188
4.13	2.91	5.47	0.17	1.45	5.27	0.307	0.263
4.11	3.16	6.03	0.43	1.03	2.45	0.325	0.279
3.9	3.25	8.48	0.42	1.32	4.14	0.264	0.205
3.9	3.25	8.48	0.42	1.32	4.14	0.264	0.205
3.9	3.25	8.48	0.42	1.32	4.14	0.264	0.205
3.83	2.38	7.14	0.24	1.19	3.93	0.286	0.229
3.69	3.08	7.22	0.39	1.31	3.44	0.277	0.225
3.62	2.74	4.87	0.31	0.83	1.07	0.304	0.268
3.5	1.97	5.44	0.52	1.32	3.46	0.319	0.282
3.29	1.67	8.2	0.74	1.43	4.41	0.327	0.266
3.24	3.49	9.26	0.57	1.14	2.63	0.378	0.292
3.1	3.4	6.74	0.37	1.48	4.97	0.345	0.287
3.06	2.95	10.13	0.98	1.29	4.65	0.319	0.246
2.89	3.66	9.84	0.58	1.47	4.54	0.394	0.297
2.84	1.0	7.02	0.77	1.08	3.33	0.333	0.282
2.84	1.0	7.02	0.77	1.08	3.33	0.333	0.282
2.84	1.0	7.02	0.77	1.08	3.33	0.333	0.282
2.57	3.13	6.63	0.5	1.48	4.99	0.313	0.262
2.53	4.53	6.42	0.19	1.48	3.69	0.248	0.203
2.34	2.32	7.55	0.29	1.65	4.75	0.354	0.286
2.34	3.91	8.35	0.49	1.29	2.53	0.273	0.215
2.33	2.36	4.11	0.44	0.92	2.57	0.336	0.311
2.16	2.7	5.4	0.62	1.08	3.3	0.343	0.306
2.15	2.7	10.8	0.96	1.54	5.08	0.339	0.259
2.1	2.52	6.41	0.61	1.03	2.88	0.285	0.246
2.0	3.51	7.69	0.67	1.55	3.59	0.302	0.247
1.96	4.44	10.17	0.56	1.32	3.77	0.303	0.223
1.96	4.44	10.17	0.56	1.32	3.77	0.303	0.223
1.96	4.44	10.17	0.56	1.32	3.77	0.303	0.223
1.94	4.14	5.88	0.54	1.42	4.64	0.31	0.27
1.88	3.48	6.56	0.66	1.49	4.08	0.302	0.257
1.84	3.67	5.15	0.41	1.34	4.76	0.279	0.247
1.78	3.76	7.79	0.42	1.4	4.4	0.337	0.272
1.69	3.9	5.93	0.62	1.39	5.06	0.306	0.268
1.64	3.49	5.59	0.7	1.22	3.73	0.212	0.193
1.61	3.46	5.02	0.69	1.42	3.3	0.361	0.327
1.58	2.7	8.0	0.85	1.57	4.98	0.288	0.239
1.53	4.36	9.76	1.04	1.35	3.88	0.3	0.232
1.52	3.96	10.16	1.24	1.29	3.1	0.316	0.248
1.52	3.96	10.16	1.24	1.29	3.1	0.316	0.248
1.52	3.96	10.16	1.24	1.29	3.1	0.316	0.248
1.48	2.57	7.23	0.96	1.06	4.19	0.329	0.28
1.37	4.02	6.47	0.45	1.59	3.73	0.369	0.309
1.36	6.58	7.0	0.42	1.42	5.05	0.253	0.213
1.32	3.6	8.1	1.13	1.5	3.84	0.217	0.191
1.3	2.92	7.02	0.88	1.2	3.78	0.352	0.302
1.27	3.51	4.93	0.79	1.46	4.17	0.288	0.265
1.18	3.3	7.08	0.66	1.5	3.86	0.328	0.277
1.12	3.61	6.79	0.69	1.05	4.37	0.33	0.281
1.12	3.59	4.68	0.78	1.48	4.34	0.27	0.25
1.09	4.61	7.47	0.95	1.59	4.55	0.335	0.284
1.09	4.61	7.47	0.95	1.59	4.55	0.335	0.284
1.09	4.61	7.47	0.95	1.59	4.55	0.335	0.284
1.06	4.83	8.56	1.1	1.49	4.15	0.283	0.233
1.03	3.12	4.45	0.74	1.3	4.01	0.354	0.326
1.02	4.03	7.09	0.89	1.29	4.27	0.304	0.261
1.0	4.01	5.61	0.67	1.35	2.55	0.307	0.271
0.98	3.21	6.05	1.07	1.58	5.08	0.276	0.251
0.88	6.28	8.15	0.47	1.42	3.79	0.361	0.285
0.87	2.52	3.96	0.36	1.52	4.4	0.282	0.26
0.87	3.08	5.47	0.68	1.17	5.12	0.362	0.33
0.86	4.55	7.3	0.96	1.32	4.54	0.3	0.254
0.84	5.66	7.92	0.58	1.61	4.34	0.333	0.27
0.84	5.66	7.92	0.58	1.61	4.34	0.333	0.27
0.84	5.66	7.92	0.58	1.61	4.34	0.333	0.27
0.81	2.46	6.08	1.23	1.64	4.98	0.304	0.277
0.79	4.09	6.93	1.07	1.39	4.56	0.342	0.299
0.79	5.74	5.74	0.72	1.66	4.79	0.382	0.344
0.77	6.17	9.0	0.83	1.64	5.63	0.342	0.273
0.73	4.8	7.45	0.99	1.74	4.94	0.355	0.3
0.71	3.1	6.95	1.17	1.44	4.65	0.338	0.294
0.7	6.1	9.58	0.87	1.28	4.7	0.314	0.245
0.68	4.61	7.68	0.81	1.4	4.28	0.323	0.271
0.62	3.45	4.27	0.99	1.44	4.71	0.337	0.316
0.59	3.2	6.48	0.99	1.31	5.38	0.328	0.288
0.59	3.2	6.48	0.99	1.31	5.38	0.328	0.288
0.59	3.2	6.48	0.99	1.31	5.38	0.328	0.288
0.5	2.0	6.1	1.3	1.34	4.31	0.33	0.299
0.48	3.88	9.13	1.38	1.58	5.39	0.301	0.251
0.39	4.05	4.87	0.81	1.8	6.0	0.324	0.296
